,Fecha,Timestamp_Pronostico,MP25
280,2022-04-12,2022-04-15 16:00:00,5
281,2022-04-12,2022-04-15 17:00:00,5
282,2022-04-12,2022-04-15 18:00:00,5
283,2022-04-12,2022-04-15 19:00:00,6
284,2022-04-12,2022-04-15 20:00:00,6
285,2022-04-12,2022-04-15 21:00:00,6
286,2022-04-12,2022-04-15 22:00:00,6
287,2022-04-12,2022-04-15 23:00:00,6
288,2022-04-17,2022-04-17 00:00:00,24
289,2022-04-17,2022-04-17 01:00:00,26
290,2022-04-17,2022-04-17 02:00:00,28
291,2022-04-17,2022-04-17 03:00:00,30
292,2022-04-17,2022-04-17 04:00:00,31
293,2022-04-17,2022-04-17 05:00:00,32
294,2022-04-17,2022-04-17 06:00:00,33
295,2022-04-17,2022-04-17 07:00:00,35
296,2022-04-17,2022-04-17 08:00:00,37
297,2022-04-17,2022-04-17 09:00:00,38
298,2022-04-17,2022-04-17 10:00:00,38
299,2022-04-17,2022-04-17 11:00:00,38
300,2022-04-17,2022-04-17 12:00:00,38
301,2022-04-17,2022-04-17 13:00:00,38
302,2022-04-17,2022-04-17 14:00:00,37
303,2022-04-17,2022-04-17 15:00:00,37
304,2022-04-17,2022-04-17 16:00:00,37
305,2022-04-17,2022-04-17 17:00:00,37
306,2022-04-17,2022-04-17 18:00:00,37
307,2022-04-17,2022-04-17 19:00:00,35
308,2022-04-17,2022-04-17 20:00:00,32
309,2022-04-17,2022-04-17 21:00:00,29
310,2022-04-17,2022-04-17 22:00:00,25
311,2022-04-17,2022-04-17 23:00:00,23
312,2022-04-17,2022-04-18 00:00:00,21
313,2022-04-17,2022-04-18 01:00:00,19
314,2022-04-17,2022-04-18 02:00:00,17
315,2022-04-17,2022-04-18 03:00:00,16
316,2022-04-17,2022-04-18 04:00:00,15
317,2022-04-17,2022-04-18 05:00:00,14
318,2022-04-17,2022-04-18 06:00:00,13
319,2022-04-17,2022-04-18 07:00:00,11
320,2022-04-17,2022-04-18 08:00:00,9
321,2022-04-17,2022-04-18 09:00:00,7
322,2022-04-17,2022-04-18 10:00:00,7
323,2022-04-17,2022-04-18 11:00:00,7
324,2022-04-17,2022-04-18 12:00:00,7
325,2022-04-17,2022-04-18 13:00:00,7
326,2022-04-17,2022-04-18 14:00:00,7
327,2022-04-17,2022-04-18 15:00:00,7
328,2022-04-17,2022-04-18 16:00:00,7
329,2022-04-17,2022-04-18 17:00:00,7
330,2022-04-17,2022-04-18 18:00:00,8
331,2022-04-17,2022-04-18 19:00:00,8
332,2022-04-17,2022-04-18 20:00:00,8
333,2022-04-17,2022-04-18 21:00:00,9
334,2022-04-17,2022-04-18 22:00:00,9
335,2022-04-17,2022-04-18 23:00:00,9
336,2022-04-17,2022-04-19 00:00:00,9
337,2022-04-17,2022-04-19 01:00:00,8
338,2022-04-17,2022-04-19 02:00:00,8
339,2022-04-17,2022-04-19 03:00:00,8
340,2022-04-17,2022-04-19 04:00:00,8
341,2022-04-17,2022-04-19 05:00:00,8
342,2022-04-17,2022-04-19 06:00:00,8
343,2022-04-17,2022-04-19 07:00:00,8
344,2022-04-17,2022-04-19 08:00:00,9
345,2022-04-17,2022-04-19 09:00:00,9
346,2022-04-17,2022-04-19 10:00:00,9
347,2022-04-17,2022-04-19 11:00:00,9
348,2022-04-17,2022-04-19 12:00:00,9
349,2022-04-17,2022-04-19 13:00:00,8
350,2022-04-17,2022-04-19 14:00:00,8
351,2022-04-17,2022-04-19 15:00:00,8
352,2022-04-17,2022-04-19 16:00:00,8
353,2022-04-17,2022-04-19 17:00:00,8
354,2022-04-17,2022-04-19 18:00:00,8
355,2022-04-17,2022-04-19 19:00:00,8
356,2022-04-17,2022-04-19 20:00:00,8
357,2022-04-17,2022-04-19 21:00:00,7
358,2022-04-17,2022-04-19 22:00:00,7
359,2022-04-17,2022-04-19 23:00:00,7
360,2022-04-17,2022-04-20 00:00:00,7
361,2022-04-17,2022-04-20 01:00:00,7
362,2022-04-17,2022-04-20 02:00:00,7
363,2022-04-17,2022-04-20 03:00:00,7
364,2022-04-17,2022-04-20 04:00:00,7
365,2022-04-17,2022-04-20 05:00:00,7
366,2022-04-17,2022-04-20 06:00:00,7
367,2022-04-17,2022-04-20 07:00:00,6
368,2022-04-17,2022-04-20 08:00:00,6
369,2022-04-17,2022-04-20 09:00:00,6
370,2022-04-17,2022-04-20 10:00:00,6
371,2022-04-17,2022-04-20 11:00:00,6
372,2022-04-17,2022-04-20 12:00:00,6
373,2022-04-17,2022-04-20 13:00:00,6
374,2022-04-17,2022-04-20 14:00:00,6
375,2022-04-17,2022-04-20 15:00:00,6
376,2022-04-17,2022-04-20 16:00:00,6
377,2022-04-17,2022-04-20 17:00:00,6
378,2022-04-17,2022-04-20 18:00:00,5
379,2022-04-17,2022-04-20 19:00:00,5
380,2022-04-17,2022-04-20 20:00:00,5
381,2022-04-17,2022-04-20 21:00:00,5
382,2022-04-17,2022-04-20 22:00:00,5
383,2022-04-17,2022-04-20 23:00:00,4
384,2022-06-24,2022-06-24 00:00:00,3
385,2022-06-24,2022-06-24 01:00:00,3
386,2022-06-24,2022-06-24 02:00:00,3
387,2022-06-24,2022-06-24 03:00:00,3
388,2022-06-24,2022-06-24 04:00:00,3
389,2022-06-24,2022-06-24 05:00:00,4
390,2022-06-24,2022-06-24 06:00:00,4
391,2022-06-24,2022-06-24 07:00:00,5
392,2022-06-24,2022-06-24 08:00:00,8
393,2022-06-24,2022-06-24 09:00:00,10
394,2022-06-24,2022-06-24 10:00:00,12
395,2022-06-24,2022-06-24 11:00:00,13
396,2022-06-24,2022-06-24 12:00:00,15
397,2022-06-24,2022-06-24 13:00:00,15
398,2022-06-24,2022-06-24 14:00:00,16
399,2022-06-24,2022-06-24 15:00:00,18
400,2022-06-24,2022-06-24 16:00:00,21
401,2022-06-24,2022-06-24 17:00:00,23
402,2022-06-24,2022-06-24 18:00:00,30
403,2022-06-24,2022-06-24 19:00:00,32
404,2022-06-24,2022-06-24 20:00:00,34
405,2022-06-24,2022-06-24 21:00:00,39
406,2022-06-24,2022-06-24 22:00:00,41
407,2022-06-24,2022-06-24 23:00:00,43
408,2022-06-24,2022-06-25 00:00:00,45
409,2022-06-24,2022-06-25 01:00:00,46
410,2022-06-24,2022-06-25 02:00:00,48
411,2022-06-24,2022-06-25 03:00:00,48
412,2022-06-24,2022-06-25 04:00:00,48
413,2022-06-24,2022-06-25 05:00:00,49
414,2022-06-24,2022-06-25 06:00:00,49
415,2022-06-24,2022-06-25 07:00:00,49
416,2022-06-24,2022-06-25 08:00:00,48
417,2022-06-24,2022-06-25 09:00:00,47
418,2022-06-24,2022-06-25 10:00:00,47
419,2022-06-24,2022-06-25 11:00:00,47
420,2022-06-24,2022-06-25 12:00:00,46
421,2022-06-24,2022-06-25 13:00:00,46
422,2022-06-24,2022-06-25 14:00:00,45
423,2022-06-24,2022-06-25 15:00:00,44
424,2022-06-24,2022-06-25 16:00:00,41
425,2022-06-24,2022-06-25 17:00:00,39
426,2022-06-24,2022-06-25 18:00:00,33
427,2022-06-24,2022-06-25 19:00:00,35
428,2022-06-24,2022-06-25 20:00:00,39
429,2022-06-24,2022-06-25 21:00:00,41
430,2022-06-24,2022-06-25 22:00:00,39
431,2022-06-24,2022-06-25 23:00:00,38
432,2022-06-24,2022-06-26 00:00:00,36
433,2022-06-24,2022-06-26 01:00:00,35
434,2022-06-24,2022-06-26 02:00:00,33
435,2022-06-24,2022-06-26 03:00:00,32
436,2022-06-24,2022-06-26 04:00:00,32
437,2022-06-24,2022-06-26 05:00:00,32
438,2022-06-24,2022-06-26 06:00:00,31
439,2022-06-24,2022-06-26 07:00:00,31
440,2022-06-24,2022-06-26 08:00:00,29
441,2022-06-24,2022-06-26 09:00:00,29
442,2022-06-24,2022-06-26 10:00:00,27
443,2022-06-24,2022-06-26 11:00:00,26
444,2022-06-24,2022-06-26 12:00:00,26
445,2022-06-24,2022-06-26 13:00:00,26
446,2022-06-24,2022-06-26 14:00:00,26
447,2022-06-24,2022-06-26 15:00:00,26
448,2022-06-24,2022-06-26 16:00:00,25
449,2022-06-24,2022-06-26 17:00:00,25
450,2022-06-24,2022-06-26 18:00:00,24
451,2022-06-24,2022-06-26 19:00:00,22
452,2022-06-24,2022-06-26 20:00:00,15
453,2022-06-24,2022-06-26 21:00:00,9
454,2022-06-24,2022-06-26 22:00:00,9
455,2022-06-24,2022-06-26 23:00:00,9
456,2022-06-24,2022-06-27 00:00:00,9
457,2022-06-24,2022-06-27 01:00:00,9
458,2022-06-24,2022-06-27 02:00:00,10
459,2022-06-24,2022-06-27 03:00:00,10
460,2022-06-24,2022-06-27 04:00:00,10
461,2022-06-24,2022-06-27 05:00:00,10
462,2022-06-24,2022-06-27 06:00:00,11
463,2022-06-24,2022-06-27 07:00:00,13
464,2022-06-24,2022-06-27 08:00:00,16
465,2022-06-24,2022-06-27 09:00:00,19
466,2022-06-24,2022-06-27 10:00:00,20
467,2022-06-24,2022-06-27 11:00:00,20
468,2022-06-24,2022-06-27 12:00:00,20
469,2022-06-24,2022-06-27 13:00:00,20
470,2022-06-24,2022-06-27 14:00:00,20
471,2022-06-24,2022-06-27 15:00:00,20
472,2022-06-24,2022-06-27 16:00:00,20
473,2022-06-24,2022-06-27 17:00:00,20
474,2022-06-24,2022-06-27 18:00:00,20
475,2022-06-24,2022-06-27 19:00:00,20
476,2022-06-24,2022-06-27 20:00:00,20
477,2022-06-24,2022-06-27 21:00:00,20
478,2022-06-24,2022-06-27 22:00:00,19
479,2022-06-24,2022-06-27 23:00:00,19
480,2022-06-12,2022-06-12 00:00:00,139
481,2022-06-12,2022-06-12 01:00:00,135
482,2022-06-12,2022-06-12 02:00:00,134
483,2022-06-12,2022-06-12 03:00:00,136
484,2022-06-12,2022-06-12 04:00:00,138
485,2022-06-12,2022-06-12 05:00:00,140
486,2022-06-12,2022-06-12 06:00:00,143
487,2022-06-12,2022-06-12 07:00:00,146
488,2022-06-12,2022-06-12 08:00:00,149
489,2022-06-12,2022-06-12 09:00:00,149
490,2022-06-12,2022-06-12 10:00:00,148
491,2022-06-12,2022-06-12 11:00:00,148
492,2022-06-12,2022-06-12 12:00:00,147
493,2022-06-12,2022-06-12 13:00:00,147
494,2022-06-12,2022-06-12 14:00:00,146
495,2022-06-12,2022-06-12 15:00:00,146
496,2022-06-12,2022-06-12 16:00:00,145
497,2022-06-12,2022-06-12 17:00:00,142
498,2022-06-12,2022-06-12 18:00:00,136
499,2022-06-12,2022-06-12 19:00:00,133
500,2022-06-12,2022-06-12 20:00:00,120
501,2022-06-12,2022-06-12 21:00:00,108
502,2022-06-12,2022-06-12 22:00:00,91
503,2022-06-12,2022-06-12 23:00:00,77
504,2022-06-12,2022-06-13 00:00:00,68
505,2022-06-12,2022-06-13 01:00:00,61
506,2022-06-12,2022-06-13 02:00:00,55
507,2022-06-12,2022-06-13 03:00:00,50
508,2022-06-12,2022-06-13 04:00:00,47
509,2022-06-12,2022-06-13 05:00:00,44
510,2022-06-12,2022-06-13 06:00:00,41
511,2022-06-12,2022-06-13 07:00:00,38
512,2022-06-12,2022-06-13 08:00:00,35
513,2022-06-12,2022-06-13 09:00:00,33
514,2022-06-12,2022-06-13 10:00:00,33
515,2022-06-12,2022-06-13 11:00:00,34
516,2022-06-12,2022-06-13 12:00:00,35
517,2022-06-12,2022-06-13 13:00:00,35
518,2022-06-12,2022-06-13 14:00:00,36
519,2022-06-12,2022-06-13 15:00:00,36
520,2022-06-12,2022-06-13 16:00:00,36
521,2022-06-12,2022-06-13 17:00:00,37
522,2022-06-12,2022-06-13 18:00:00,37
523,2022-06-12,2022-06-13 19:00:00,37
524,2022-06-12,2022-06-13 20:00:00,38
525,2022-06-12,2022-06-13 21:00:00,38
526,2022-06-12,2022-06-13 22:00:00,38
527,2022-06-12,2022-06-13 23:00:00,38
528,2022-06-12,2022-06-14 00:00:00,38
529,2022-06-12,2022-06-14 01:00:00,38
530,2022-06-12,2022-06-14 02:00:00,38
531,2022-06-12,2022-06-14 03:00:00,38
532,2022-06-12,2022-06-14 04:00:00,37
533,2022-06-12,2022-06-14 05:00:00,36
534,2022-06-12,2022-06-14 06:00:00,35
535,2022-06-12,2022-06-14 07:00:00,35
536,2022-06-12,2022-06-14 08:00:00,35
537,2022-06-12,2022-06-14 09:00:00,35
538,2022-06-12,2022-06-14 10:00:00,35
539,2022-06-12,2022-06-14 11:00:00,35
540,2022-06-12,2022-06-14 12:00:00,36
541,2022-06-12,2022-06-14 13:00:00,37
542,2022-06-12,2022-06-14 14:00:00,38
543,2022-06-12,2022-06-14 15:00:00,39
544,2022-06-12,2022-06-14 16:00:00,39
545,2022-06-12,2022-06-14 17:00:00,41
546,2022-06-12,2022-06-14 18:00:00,41
547,2022-06-12,2022-06-14 19:00:00,41
548,2022-06-12,2022-06-14 20:00:00,51
549,2022-06-12,2022-06-14 21:00:00,61
550,2022-06-12,2022-06-14 22:00:00,65
551,2022-06-12,2022-06-14 23:00:00,72
552,2022-06-12,2022-06-15 00:00:00,73
553,2022-06-12,2022-06-15 01:00:00,76
554,2022-06-12,2022-06-15 02:00:00,83
555,2022-06-12,2022-06-15 03:00:00,89
556,2022-06-12,2022-06-15 04:00:00,89
557,2022-06-12,2022-06-15 05:00:00,89
558,2022-06-12,2022-06-15 06:00:00,89
559,2022-06-12,2022-06-15 07:00:00,89
560,2022-06-12,2022-06-15 08:00:00,89
561,2022-06-12,2022-06-15 09:00:00,88
562,2022-06-12,2022-06-15 10:00:00,88
563,2022-06-12,2022-06-15 11:00:00,86
564,2022-06-12,2022-06-15 12:00:00,85
565,2022-06-12,2022-06-15 13:00:00,83
566,2022-06-12,2022-06-15 14:00:00,81
567,2022-06-12,2022-06-15 15:00:00,81
568,2022-06-12,2022-06-15 16:00:00,80
569,2022-06-12,2022-06-15 17:00:00,81
570,2022-06-12,2022-06-15 18:00:00,82
571,2022-06-12,2022-06-15 19:00:00,86
572,2022-06-12,2022-06-15 20:00:00,80
573,2022-06-12,2022-06-15 21:00:00,81
574,2022-06-12,2022-06-15 22:00:00,77
575,2022-06-12,2022-06-15 23:00:00,72
576,2022-05-27,2022-05-27 00:00:00,38
577,2022-05-27,2022-05-27 01:00:00,39
578,2022-05-27,2022-05-27 02:00:00,39
579,2022-05-27,2022-05-27 03:00:00,40
